titulo,precioUnitario,precioCantidad,stock,precioOferta,@imagen
Actron 400 20u,$6450,,,,/img/Medicamentos/actron400.png
Actron 600 x10u,$8650,,,,/img/Medicamentos/actron600.png
Al Maximo x2,$1500,,,,/img/Medicamentos/sildenafil.png
Amoxicilina,$2300,,,,/img/Medicamentos/amoxicilina.png
Aspirina prevent,$1650,,,,/img/Medicamentos/aspirinaPrevent.png
Aspirinetas Tableta,$990,,,,/img/Medicamentos/aspirinetas.png
Azitromicina,$2200,,,,/img/Medicamentos/azitromicina.png
Bayaspirina Tableta,$2090,,,,/img/Medicamentos/aspirinaTableta.png
Buscapina perla Tableta,$5790,,,,/img/Medicamentos/buscap.png
Diclofenac 100ml,$1990,,,,/img/Medicamentos/diclo1002.png
Diclofenac,$1200,,,,/img/Medicamentos/diclofenac.png
Diclofenac relajante,$1200,,,,/img/Medicamentos/dicloFabo.png
Enalapril,$1000,,,,/img/Medicamentos/enalapril.png
Hierba Medicinal,$1790,,,,/img/Medicamentos/hierbaMed.png
Ibu Jarabe 2%,$1800,,,,/img/Medicamentos/ibuJarabe2.png
Ibu Jarabe 4%,$2000,,,,/img/Medicamentos/ibuJarabe.png
Ibuevanol 20u,$5590,,,,/img/Medicamentos/ibuevanol.png
Ibuprofeno 400,$1000,,,,/img/Medicamentos/ibu400.png
Ibuprofeno 600,$1300,,,,/img/Medicamentos/ibuVent.png
Keterolac,$1000,,,,/img/Medicamentos/keterolac.png
Loratadina,$790,,,,/img/Medicamentos/loratadina.png
Mejoral Niño Tableta,$2190,,,,/img/Medicamentos/mejoralNi.png
Mentolina,$969,,,,/img/Medicamentos/mentolina.png
Mieligtus chico ,$689,,,,/img/Medicamentos/mieligtus.png
Migral,$4690,,,,/img/Medicamentos/migral.png
Norgestrel Emergencia,$4190,,,,/img/Medicamentos/norgestrel.png
Novalgina,$3500,,,,/img/Medicamentos/novalgina.png
Omeprazol,$1000,,,,/img/Medicamentos/omeprazol.png
Pastilla Carbon,$1700,,,,/img/Medicamentos/pastiCarbon.png
Paracetamol 500,$1000,,,,/img/Medicamentos/paracet.png
Paracetamol 1g x8u,$1500,,,,/img/Medicamentos/paracet1g.png
Pomada Medicinal,$1790,,,,/img/Medicamentos/pomadaMed.png
Pomada Curativa,$1590,,,,/img/Medicamentos/cremaCura.png
Qura Plus,$8450,,,,/img/Medicamentos/qura.png
Tafirol comun Tableta,$1949,,,,/img/Medicamentos/tafirol.png
Tafirol Plus x8,$2790,,,,/img/Medicamentos/tafirolPlus.png
Te Vent3 x50,$1090,,,,/img/Medicamentos/teVent.png
Uvasal x30,$490,,,,/img/Medicamentos/uvasal.png
Gripaben plus x20 ,$5590,,,,/img/Medicamentos/gripaben.png
