titulo,precioUnitario,precioCantidad,stock,precioOferta,@imagen
Adhesivo Pato ,$2390,,,,/img/Limpieza/adhesivoPato.png
Antipolillas,$1490,,,,/img/Limpieza/antipolillas.png
Lavandina comun Fragante y Val x15 ,$729,$10935,,,/img/Limpieza/lavandinaFraVal.png
Ayudin Comun x15,$1090,,,,/img/Limpieza/ayudin.png
Ayudin comun 2litros,$1790,,,,/img/Limpieza/ayudin2.png
Ayudin ropa blanca x15,$1890,$28350,,,/img/Limpieza/ayudinBlanco.png
Bolsa Residuo 45x60 x30un,$1390,,,,/img/Limpieza/bolsaResiduoM.png
Bolsa Residuo 60x90 x10un,$1390,,,,/img/Limpieza/bolsaResiduoG.png
Cabo de madera,$690,,,,/img/Limpieza/palo.png
Cepillo Condor x12 ,$1249,,,,/img/Limpieza/cepilloCondor.png
Cera Liquida Negra ,$6369,,,,/img/Limpieza/blemNegro.png
Ceramicol rojo brillo ,$6990,,,,/img/Limpieza/ceramicol.png
Desod. Ambiente Glade x6,$2890,$17340,,,/img/Limpieza/glade.png
Detergente Ala Concentrado x300ml x12 ,$1590,,,,/img/Limpieza/deterAlaCon.png
Detergente Ala cremoso x15 ,$1590,$23850,,,/img/Limpieza/deterAla.png
Detergente magistral x500,$2890,,,,/img/Limpieza/deterMagis.png
Detergente Val x24 x300gr,$850,$20400,,,/img/Limpieza/deterVal4.png
Escobillon Chico,$1890,,,,/img/Limpieza/escobiChico.png
Escurridor doble goma,$1890,,,,/img/Limpieza/escurridor.png
Espiral Matiris 12u,$1349,,,,/img/Limpieza/espiralMatiris12.png
Espiral Matiris 4u x50,$619,$30950,,,/img/Limpieza/espiralMatiris4.png
Espiral Raid 12x4,$8990,,,,/img/Limpieza/espiralRaid.png
Esponja acero Ruletec,$650,,,,/img/Limpieza/esponjaRuletec.png
Esponja Acero chica help,$399,,,,/img/Limpieza/esponjaHelp.png
Esponja Batuque x12 plato ,$499,$5988,,,/img/Limpieza/esponjaBatuque.png
Fluido Manchester,$4490,,,,/img/Limpieza/fluidoMan.png
Fluido Triunfo,$3290,,,,/img/Limpieza/fluidoTriunfo.png
Franela,$1190,,,,/img/Limpieza/franela.png
Rejilla ,$710,,,,/img/Limpieza/rejilla.png
Sopapa negra ,$1990,,,,/img/Limpieza/sopapa.png
Baygon mata cucarachas y arañas x12,$4990,,,,/img/Limpieza/baygonCuca.png
Selton mata cucarachas 360cm,$3790,,,,/img/Limpieza/seltonCuca.png
Fuyi Mosquitos x12 aerosol,$4290,$51480,,,/img/Limpieza/fuyiMosqui.png
Fuyi Tableta vape X12,$2900,,,,/img/Limpieza/fuyiTable.png
Raid vape x24,$4900,,,,/img/Limpieza/raidVape.png
Jabon Blanco 150g x24u,$369,$8856,,,/img/Limpieza/jabonBlanco.png
Jabon en polvo Ala x400g Reg/matic x24 ,$1149,,,,/img/Limpieza/alaBicarb.png
Jabon en polvo Ala x800g Reg/Matic x24,$2249,,,,/img/Limpieza/alaBicarb.png
Jabon en polvo Granby 800gr Reg/Matic,$1649,$39576,,,/img/Limpieza/jabonGranby3.png
Jabon en polvo Granby 3Kg Reg/Matic,$5740,$40180,,,/img/Limpieza/jabonGranby3.png
Jabon Petirrojo 150g blanco x56 ,$449,$25144,,,/img/Limpieza/petiBlanco.png
Jabon Seiseme x50 ,$1790,$89500,,,/img/Limpieza/jabonSeiseme.png
Jabon verde Astro x56 ,,$18490,,,/img/Limpieza/jabonAstro.png
Jabon verde Petirrojo x48,$369,$17712,,,/img/Limpieza/petiVerde.png
Liquido Piso Sedile x15,$1190,$17850,,,/img/Limpieza/desinfSedile.png
Palita Residuos,$890,,,,/img/Limpieza/palita.png
Pastilla baño Sani-Sol x12,$890,,,,/img/Limpieza/pastiSani.png
Pastila inodoro pato x24 ,$1290,,,,/img/Limpieza/pastillaPato.png
Puloil Polvo,$2290,,,,/img/Limpieza/puloil.png
Raid Moscas y Mosquitos x12 ,$4290,$51480,,,/img/Limpieza/raidMosqui.png
Rastrillo,$1490,,,,/img/Limpieza/rastrillo.png
Raticida en semillas ,$749,,,,/img/Limpieza/raticida.png
Rollo cocina x12,$1349,$16188,,,/img/Limpieza/rolloSol.png
Suavizante Gota Limpa 2L x6,$3590,$21540,,,/img/Limpieza/suaviGota.png
Suavizante Vivere 3L rosa y celeste,$5900,$23600,,,/img/Limpieza/suaviVivere.png
Suavizante Clow x16,$1690,,,,/img/Limpieza/suaviClow.png
Trapo Piso,$849,,,,/img/Limpieza/trapo.png
Virulana Batuque x25 ,$690,$17250,,,/img/Limpieza/virulanaBatuque.png
